aet,def,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs,clear_perc,clear_views,duration,flooded,jrc_perm_water
929.1045159872552,350.7725964179765,266.5550379079225,1279.8645643335917,80.28603450170323,4.0436215800461515,638.3583562245917,2440.3596747610186,0,189.3031315240086,306.46988243050265,2061.606306999234,125.16809141852562,106.32561257004741,,,,,
1146.637320847622,118.53095049679072,355.373450276972,1265.1449265804983,114.74984612679164,5.755561417392075,740.6545986107452,2417.579134792932,0,188.71845599226242,302.46817022773234,2100.9325156071413,115.6838345203553,112.17814121164169,,,,,
713.832018112676,628.0136504517172,302.6173916866329,1341.8381509243168,46.590992020750406,2.182291781153145,563.9106236124235,2511.0724946695077,0,180.12135933000667,315.312333765634,1850.7068559998224,151.5071769283185,117.20519640384225,,,,,
805.1116386416089,496.8826464446641,338.34082866249025,1301.9515990768214,60.001252884932384,3.0655896252335384,573.0200461589185,2490.3379492251893,0,181.092427739312,309.40925376414987,1922.496296296296,137.1988130563798,107.90190130783601,,,,,
988.1155891530784,281.9834087812596,371.22350898782577,1270.1185997450884,89.32439678284183,4.512723596888322,671.2293543708522,2468.805586076562,0,182.85166791192378,302.8170790664968,1954.4076165780336,126.82637454401619,101.65556190392475,,,,,
1192.4699184489916,52.476688721341695,395.5753412612925,1244.980326643659,124.77677884509691,6.245862000747363,702.0136064889099,2436.5251796979733,0,182.95443255006256,299.4636757303319,1978.7072077022833,120.32886378124097,98.26852482799545,,,,,
670.863776205336,649.5150309849253,324.13503713795996,1320.3498000263708,43.716476948094765,2.0023733134092208,542.4581813387249,2501.9290642992155,0,175.91638465257333,307.5735946908103,1816.856172812378,142.05183931789222,122.01738232321014,,,,,
812.3844683235553,474.1037862306899,370.6527567187469,1286.462192629706,60.482453248950755,3.0624739051135004,670.5759333728882,2476.004329004331,0,178.330125035709,303.74511613597923,1880.3523633726693,132.47950864702136,112.83000417518197,,,,,
963.2474405729612,296.6518080759263,373.3010018014856,1259.8928995122822,83.98879564128485,4.234808207741994,849.4319170438073,2467.8139856759985,0,179.57019201195146,298.03754558636183,1908.9656839052707,123.30873500593182,106.11213146447577,,,,,
1165.7598338680618,63.89456335428299,372.6573858392302,1229.6101393222875,123.7448248582605,6.1544411725926285,801.8092339471723,2427.4119896277416,0,180.33448336483107,296.1779985056918,1917.0355557508906,120.79640047466272,97.26675603217159,,,,,
1074.5964071329618,501.7705974185884,158.25759141581815,1576.3371885925353,95.7021042679038,4.7464104311880195,622.6701774445343,2513.9069460630158,0,242.9726467160667,337.19919083533046,3022.453264143888,113.75214934365306,309.0394028012926,,,,,
1146.5780123131049,423.3339050131925,141.3094327176781,1569.8748460861918,106.53179419525065,5.314182058047494,590.4409630606858,2536.492766051012,0,240.25483729111687,334.6646218117854,3011.382541776606,108.63557607739664,316.6574758135445,,,,,
1207.4401116655317,336.8205877827359,127.77392126261186,1544.3290616138756,116.61572109994943,5.811883146857753,536.8383927197591,2563.833842569187,0,238.2751851933264,330.6537928912141,2998.286923262919,102.41393181368564,298.28890158925554,,,,,
1271.6599351485374,268.8558723952124,127.531185923418,1540.5212197796948,124.93553001764336,6.271207858471215,587.9818082113394,2609.6949120213617,0,240.83226837060678,323.27194697439296,2961.4848838872717,98.31658003910155,296.6160173573027,,,,,
